name,k,tol,Avg_Precision,Avg_AbsBias_gender,Avg_Bias_gender
Baseline,25.0,,0.5626666666666666,0.7173333333333334,-0.328
CDI_Sum_intersectional,25.0,0.02,0.47022222222222215,0.4453333333333334,-0.31555555555555553
CDI_Min_intersectional,25.0,0.02,0.48177777777777775,0.5164444444444445,-0.3546666666666667
DebiasClip,25.0,0.0,0.6391111111111112,0.7208888888888888,-0.2657777777777778
PBM_intersectional,25.0,0.0,0.43911111111111123,0.41022222222222227,0.14044444444444446
CLIP_intersectional,25.0,200.0,0.44088888888888894,0.5466666666666667,-0.36355555555555563
